# MDIFFRAD radiative correction results
# Generated by RunMDiffradNew
#
# Conventions:
#   tprime_*  = positive  (mtprime = |t| - |tmin|)
#   t_abs_*   = positive  (= tprime + tmin_abs)
#   t_phys_*  = negative  (= -t_abs, matches RDF 't' column)
#   W2c, xBc, Wc are evaluated at (Q2c, W2_centre)
#   rad_corr = delta_RC  (Born / observed cross-section ratio)
#   rdf_filter can be pasted directly into RDataFrame::Filter()
#
# beam_momentum_GeV = 10.60000038
# W2_range_GeV2     = 4.00000000 12.25000000
#
iQ2,itp,Q2_lo,Q2_hi,Q2_c,tprime_lo,tprime_hi,tprime_c,t_abs_lo,t_abs_hi,t_abs_c,t_phys_lo,t_phys_hi,t_phys_c,tmin_abs,W2_lo,W2_hi,W2_c,xBc,Wc,rad_corr,rad_corr_sigma,rad_corr_sem,nsamp,rdf_filter
0,0,0.10000000,1.15333333,0.62666667,0.01000000,0.38416667,0.19708333,0.04340734,0.41757401,0.23049068,-0.41757401,-0.04340734,-0.23049068,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72866667,0.00152753,0.00088192,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.010000 && mtprime < 0.384167"
0,1,0.10000000,1.15333333,0.62666667,0.38416667,0.45900000,0.42158334,0.41757401,0.49240734,0.45499068,-0.49240734,-0.41757401,-0.45499068,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72666667,0.00115470,0.00066667,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.384167 && mtprime < 0.459000"
0,2,0.10000000,1.15333333,0.62666667,0.45900000,0.60866667,0.53383333,0.49240734,0.64207401,0.56724068,-0.64207401,-0.49240734,-0.56724068,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72733333,0.00057735,0.00033333,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.459000 && mtprime < 0.608667"
0,3,0.10000000,1.15333333,0.62666667,0.60866667,0.68350000,0.64608333,0.64207401,0.71690734,0.67949068,-0.71690734,-0.64207401,-0.67949068,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72933333,0.00057735,0.00033333,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.608667 && mtprime < 0.683500"
0,4,0.10000000,1.15333333,0.62666667,0.68350000,0.83316667,0.75833333,0.71690734,0.86657401,0.79174068,-0.86657401,-0.71690734,-0.79174068,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72900000,0.00200000,0.00115470,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.683500 && mtprime < 0.833167"
0,5,0.10000000,1.15333333,0.62666667,0.83316667,1.05766667,0.94541667,0.86657401,1.09107401,0.97882401,-1.09107401,-0.86657401,-0.97882401,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72966667,0.00152753,0.00088192,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.833167 && mtprime < 1.057667"
0,6,0.10000000,1.15333333,0.62666667,1.05766667,1.28216667,1.16991667,1.09107401,1.31557401,1.20332401,-1.31557401,-1.09107401,-1.20332401,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72900000,0.00519615,0.00300000,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 1.057667 && mtprime < 1.282167"
0,7,0.10000000,1.15333333,0.62666667,1.28216667,1.73116667,1.50666667,1.31557401,1.76457401,1.54007401,-1.76457401,-1.31557401,-1.54007401,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73633333,0.00378594,0.00218581,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 1.282167 && mtprime < 1.731167"
0,8,0.10000000,1.15333333,0.62666667,1.73116667,4.50000000,3.11558334,1.76457401,4.53340734,3.14899068,-4.53340734,-1.76457401,-3.14899068,0.03340734,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73233333,0.00611010,0.00352767,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 1.731167 && mtprime < 4.500000"
1,0,1.15333333,1.68000000,1.41666666,0.01000000,0.38416667,0.19708333,0.08260070,0.45676737,0.26968403,-0.45676737,-0.08260070,-0.26968403,0.07260070,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70400000,0.00000000,0.00000000,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.010000 && mtprime < 0.384167"
1,1,1.15333333,1.68000000,1.41666666,0.38416667,0.45900000,0.42158334,0.45676737,0.53160070,0.49418403,-0.53160070,-0.45676737,-0.49418403,0.07260070,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70266667,0.00057735,0.00033333,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.384167 && mtprime < 0.459000"
