# MDIFFRAD radiative correction results
# Generated by RunMDiffradNew
#
# Conventions:
#   tprime_*  = positive  (mtprime = |t| - |tmin|)
#   t_abs_*   = positive  (= tprime + tmin_abs)
#   t_phys_*  = negative  (= -t_abs, matches RDF 't' column)
#   W2c, xBc, Wc are evaluated at (Q2c, W2_centre)
#   rad_corr = delta_RC  (Born / observed cross-section ratio)
#   rdf_filter can be pasted directly into RDataFrame::Filter()
#
# beam_momentum_GeV = 10.60000000
# W2_range_GeV2     = 4.00000000 12.25000000
#
iQ2,itp,Q2_lo,Q2_hi,Q2_c,tprime_lo,tprime_hi,tprime_c,t_abs_lo,t_abs_hi,t_abs_c,t_phys_lo,t_phys_hi,t_phys_c,tmin_abs,W2_lo,W2_hi,W2_c,xBc,Wc,rad_corr,rad_corr_sigma,rad_corr_sem,nsamp,rdf_filter
0,0,0.10000000,1.06670000,0.58335000,0.00100000,0.30000000,0.15050000,0.03269277,0.33169277,0.18219277,-0.33169277,-0.03269277,-0.18219277,0.03169277,4.00000000,12.25000000,8.12500000,0.07452099,2.85043856,nan,nan,nan,3,"Q2 >= 0.100000 && Q2 < 1.066700 && mtprime >= 0.001000 && mtprime < 0.300000"
0,1,0.10000000,1.06670000,0.58335000,0.30000000,0.37500000,0.33750000,0.33169277,0.40669277,0.36919277,-0.40669277,-0.33169277,-0.36919277,0.03169277,4.00000000,12.25000000,8.12500000,0.07452099,2.85043856,0.72666667,0.00115470,0.00066667,3,"Q2 >= 0.100000 && Q2 < 1.066700 && mtprime >= 0.300000 && mtprime < 0.375000"
0,2,0.10000000,1.06670000,0.58335000,0.37500000,0.45000000,0.41250000,0.40669277,0.48169277,0.44419277,-0.48169277,-0.40669277,-0.44419277,0.03169277,4.00000000,12.25000000,8.12500000,0.07452099,2.85043856,0.72900000,0.00173205,0.00100000,3,"Q2 >= 0.100000 && Q2 < 1.066700 && mtprime >= 0.375000 && mtprime < 0.450000"
0,3,0.10000000,1.06670000,0.58335000,0.45000000,0.52500000,0.48750000,0.48169277,0.55669277,0.51919277,-0.55669277,-0.48169277,-0.51919277,0.03169277,4.00000000,12.25000000,8.12500000,0.07452099,2.85043856,0.72866667,0.00251661,0.00145297,3,"Q2 >= 0.100000 && Q2 < 1.066700 && mtprime >= 0.450000 && mtprime < 0.525000"
0,4,0.10000000,1.06670000,0.58335000,0.52500000,0.60000000,0.56250000,0.55669277,0.63169277,0.59419277,-0.63169277,-0.55669277,-0.59419277,0.03169277,4.00000000,12.25000000,8.12500000,0.07452099,2.85043856,0.72800000,0.00200000,0.00115470,3,"Q2 >= 0.100000 && Q2 < 1.066700 && mtprime >= 0.525000 && mtprime < 0.600000"
0,5,0.10000000,1.06670000,0.58335000,0.60000000,0.67500000,0.63750000,0.63169277,0.70669277,0.66919277,-0.70669277,-0.63169277,-0.66919277,0.03169277,4.00000000,12.25000000,8.12500000,0.07452099,2.85043856,0.72866667,0.00152753,0.00088192,3,"Q2 >= 0.100000 && Q2 < 1.066700 && mtprime >= 0.600000 && mtprime < 0.675000"
0,6,0.10000000,1.06670000,0.58335000,0.67500000,0.82500000,0.75000000,0.70669277,0.85669277,0.78169277,-0.85669277,-0.70669277,-0.78169277,0.03169277,4.00000000,12.25000000,8.12500000,0.07452099,2.85043856,0.73033333,0.00251661,0.00145297,3,"Q2 >= 0.100000 && Q2 < 1.066700 && mtprime >= 0.675000 && mtprime < 0.825000"
0,7,0.10000000,1.06670000,0.58335000,0.82500000,4.50000000,2.66250000,0.85669277,4.53169277,2.69419277,-4.53169277,-0.85669277,-2.69419277,0.03169277,4.00000000,12.25000000,8.12500000,0.07452099,2.85043856,0.72966667,0.00152753,0.00088192,3,"Q2 >= 0.100000 && Q2 < 1.066700 && mtprime >= 0.825000 && mtprime < 4.500000"
1,0,1.06670000,1.46670000,1.26670000,0.00100000,0.30000000,0.15050000,0.06500536,0.36400536,0.21450536,-0.36400536,-0.06500536,-0.21450536,0.06400536,4.00000000,12.25000000,8.12500000,0.14882488,2.85043856,0.70366667,0.00115470,0.00066667,3,"Q2 >= 1.066700 && Q2 < 1.466700 && mtprime >= 0.001000 && mtprime < 0.300000"
1,1,1.06670000,1.46670000,1.26670000,0.30000000,0.37500000,0.33750000,0.36400536,0.43900536,0.40150536,-0.43900536,-0.36400536,-0.40150536,0.06400536,4.00000000,12.25000000,8.12500000,0.14882488,2.85043856,0.70533333,0.00057735,0.00033333,3,"Q2 >= 1.066700 && Q2 < 1.466700 && mtprime >= 0.300000 && mtprime < 0.375000"
